ENSMUSG00000059588	chr2-84007835-84009694
ENSMUSG00000100455	chr1-143644126-143644624
ENSMUSG00000026311	chr1-91919299-91920963
ENSMUSG00000046722	chr3-95239542-95241742
ENSMUSG00000010505	chr2-180953656-180955430
ENSMUSG00000027185	chr2-103982038-103983239
ENSMUSG00000036752	chr2-25288169-25289323
ENSMUSG00000038914	chr2-180353097-180354135
ENSMUSG00000038312	chr2-156007662-156008914
ENSMUSG00000042066	chr1-132740761-132742074
ENSMUSG00000047459	chr2-155381297-155382692
ENSMUSG00000072258	chr1-183074951-183075994
ENSMUSG00000026032	chr1-58534164-58535086
ENSMUSG00000085655	chr3-36170447-36172096
ENSMUSG00000039536	chr2-167155307-167156505
ENSMUSG00000034848	chr2-66408093-66410326
ENSMUSG00000033544	chr1-156904828-156905902
ENSMUSG00000013698	chr1-172481429-172482611
ENSMUSG00000015961	chr1-177363569-177365128
ENSMUSG00000085001	chr2-71812487-71813324
ENSMUSG00000074607	chr2-163308771-163310592
ENSMUSG00000039483	chr2-30817729-30819180
ENSMUSG00000026154	chr1-23655811-23657383
ENSMUSG00000027584	chr2-181758798-181759876
ENSMUSG00000005089	chr2-102052058-102053468
ENSMUSG00000091512	chr3-137482531-137483599
ENSMUSG00000003721	chr1-121539993-121541108
ENSMUSG00000085397	chr2-32566396-32567052
ENSMUSG00000026478	chr1-153091743-153093195
ENSMUSG00000027698	chr3-27624721-27626119
ENSMUSG00000087445	chr2-157861044-157862876
ENSMUSG00000015790	chr2-26525134-26527357
ENSMUSG00000039463	chr2-167136728-167137594
ENSMUSG00000048911	chr2-130704394-130706144
ENSMUSG00000001052	chr3-129389809-129390990
ENSMUSG00000086708	chr3-156958491-156959363
ENSMUSG00000026867	chr2-34531467-34532510
ENSMUSG00000004897	chr3-88138172-88139523
ENSMUSG00000027087	chr2-83940821-83942122
ENSMUSG00000079436	chr1-87729693-87730556
ENSMUSG00000041642	chr1-135929526-135930687
ENSMUSG00000017707	chr2-163685107-163686565
ENSMUSG00000085704	chr2-179709087-179711284
ENSMUSG00000054426	chr3-116006663-116008539
ENSMUSG00000026819	chr2-32566396-32567052
ENSMUSG00000102548	chr1-166401387-166402918
ENSMUSG00000040506	chr2-91480284-91481407
ENSMUSG00000028104	chr3-96146961-96148560
ENSMUSG00000068040	chr2-153031156-153032826
ENSMUSG00000026452	chr1-134296837-134299528
ENSMUSG00000042662	chr2-152413548-152415400
ENSMUSG00000009549	chr2-118553303-118554921
ENSMUSG00000027086	chr2-69646700-69647867
ENSMUSG00000049339	chr1-75555909-75556880
