ENSMUSG00000052539	chr3-104294804-104296296
ENSMUSG00000027937	chr3-90614672-90616069
ENSMUSG00000068740	chr3-108307403-108308251
ENSMUSG00000026229	chr1-86064014-86065622
ENSMUSG00000038642	chr3-95754338-95755255
ENSMUSG00000068744	chr3-108510731-108512471
ENSMUSG00000039254	chr2-32536286-32537304
ENSMUSG00000026933	chr2-25841902-25843553
ENSMUSG00000027184	chr2-103670030-103670818
ENSMUSG00000027404	chr2-129573574-129575489
ENSMUSG00000074649	chr2-155728673-155729871
ENSMUSG00000053965	chr3-122983658-122985148
ENSMUSG00000026311	chr1-91064788-91065685
ENSMUSG00000055866	chr1-91493926-91495523
ENSMUSG00000026577	chr1-164605391-164606969
ENSMUSG00000042901	chr1-182837841-182838689
ENSMUSG00000028069	chr3-88081195-88082481
ENSMUSG00000028007	chr3-117432280-117433228
ENSMUSG00000026858	chr2-30590828-30591345
ENSMUSG00000016346	chr2-181130186-181130729
ENSMUSG00000027639	chr2-157409465-157411017
ENSMUSG00000102930	chr1-36938812-36940631
ENSMUSG00000026817	chr2-32088237-32089150
ENSMUSG00000084799	chr1-63255282-63257107
ENSMUSG00000027684	chr3-31048104-31049895
ENSMUSG00000005102	chr2-118403489-118404878
ENSMUSG00000085436	chr2-164769323-164770226
ENSMUSG00000038324	chr2-155774926-155776457
ENSMUSG00000010538	chr3-88424390-88425494
ENSMUSG00000079499	chr2-29319858-29321254
ENSMUSG00000025762	chr3-40799376-40800930
ENSMUSG00000087022	chr1-57377241-57378605
ENSMUSG00000026509	chr1-181923252-181923999
ENSMUSG00000013465	chr2-25311024-25313472
ENSMUSG00000028051	chr3-88763776-88766184
ENSMUSG00000036632	chr3-55002853-55004727
ENSMUSG00000000827	chr2-181457939-181460673
ENSMUSG00000005886	chr1-13372115-13374729
ENSMUSG00000027575	chr2-180251071-180251883
ENSMUSG00000039157	chr2-32088237-32089150
ENSMUSG00000051329	chr2-90843560-90844184
ENSMUSG00000014873	chr2-26603435-26604998
ENSMUSG00000106218	chr3-88628953-88631618
ENSMUSG00000027340	chr2-131909529-131910521
ENSMUSG00000045174	chr1-34462670-34463324
ENSMUSG00000026349	chr1-128003662-128005163
ENSMUSG00000027797	chr3-55226289-55227654
ENSMUSG00000033502	chr3-116331849-116332389
ENSMUSG00000004105	chr2-32828976-32830515
ENSMUSG00000017897	chr2-165265962-165267448
ENSMUSG00000027009	chr2-78868334-78870183
ENSMUSG00000028127	chr3-121170820-121172167
ENSMUSG00000026526	chr1-175624773-175626362
ENSMUSG00000027286	chr2-119996930-119998155
ENSMUSG00000026853	chr2-30031714-30034133
ENSMUSG00000033147	chr3-101379713-101380459
ENSMUSG00000026123	chr1-34462670-34463324
ENSMUSG00000027584	chr2-181059962-181060819
ENSMUSG00000026238	chr1-86154168-86155344
ENSMUSG00000026662	chr2-4717101-4718894
ENSMUSG00000027455	chr2-151037963-151040017
ENSMUSG00000027367	chr2-127377687-127379147
ENSMUSG00000074656	chr2-154372126-154373124
ENSMUSG00000068735	chr2-92934129-92935095
ENSMUSG00000026811	chr2-32602529-32603157
ENSMUSG00000054484	chr2-120496042-120497149
ENSMUSG00000037395	chr1-191802119-191803778
ENSMUSG00000042520	chr3-90446281-90447525
ENSMUSG00000048997	chr3-108553830-108555262
ENSMUSG00000027642	chr2-157561236-157561907
ENSMUSG00000027288	chr2-120873020-120873800
ENSMUSG00000015697	chr3-94996392-94997675
ENSMUSG00000047030	chr2-167278591-167279705
ENSMUSG00000027286	chr2-120866397-120868139
ENSMUSG00000028158	chr3-137762219-137763887
ENSMUSG00000045624	chr2-140394852-140396478
ENSMUSG00000078919	chr2-168319746-168321424
ENSMUSG00000026155	chr1-23834206-23835364
ENSMUSG00000086779	chr2-26525134-26527357
ENSMUSG00000027130	chr2-112378798-112379882
ENSMUSG00000050229	chr1-172363624-172365341
ENSMUSG00000039671	chr2-166206063-166207837
ENSMUSG00000046519	chr3-95104906-95107232
ENSMUSG00000028188	chr3-146564160-146565191
ENSMUSG00000051590	chr1-127868392-127869573
ENSMUSG00000085102	chr3-108307403-108308251
ENSMUSG00000043535	chr2-29346474-29347528
ENSMUSG00000105304	chr3-104407193-104408094
ENSMUSG00000074340	chr3-105559248-105560536
ENSMUSG00000026193	chr1-71652553-71654015
ENSMUSG00000041355	chr3-88483291-88484156
ENSMUSG00000026107	chr1-51198989-51200241
ENSMUSG00000032869	chr2-152080493-152082836
ENSMUSG00000026281	chr1-93511405-93512870
ENSMUSG00000059149	chr1-131910009-131911653
ENSMUSG00000090071	chr1-75392732-75394214
