ENSMUSG00000026565	chr1-165459442-165462006
ENSMUSG00000037509	chr1-34849507-34850938
ENSMUSG00000026383	chr1-119884110-119886954
ENSMUSG00000047824	chr3-89584168-89586408
ENSMUSG00000094962	chr3-55462911-55463774
ENSMUSG00000038605	chr2-180896211-180898329
ENSMUSG00000001018	chr3-90253606-90255239
ENSMUSG00000079502	chr2-28467788-28468752
ENSMUSG00000026203	chr1-75128550-75129614
ENSMUSG00000039671	chr2-165492667-165494492
ENSMUSG00000016179	chr1-193327160-193327720
ENSMUSG00000027692	chr3-28441267-28442407
ENSMUSG00000027291	chr2-119996930-119998155
ENSMUSG00000027998	chr3-83286764-83287430
ENSMUSG00000001767	chr2-145587485-145589053
ENSMUSG00000066877	chr1-43024424-43025718
ENSMUSG00000048332	chr3-53040627-53042396
ENSMUSG00000026455	chr1-134077353-134080064
ENSMUSG00000091337	chr2-125141768-125143712
ENSMUSG00000039047	chr3-152542215-152545699
ENSMUSG00000027350	chr2-132509268-132509960
ENSMUSG00000038550	chr3-96268116-96270363
ENSMUSG00000051278	chr3-127097787-127099027
ENSMUSG00000026888	chr2-65125623-65127063
ENSMUSG00000028194	chr3-145118146-145119588
ENSMUSG00000033721	chr3-109525865-109527670
ENSMUSG00000105337	chr3-152625028-152625910
ENSMUSG00000016346	chr2-181113574-181115307
ENSMUSG00000027881	chr3-108385997-108386757
ENSMUSG00000025815	chr2-6349091-6350524
ENSMUSG00000085247	chr2-134779625-134780872
ENSMUSG00000027247	chr2-91443756-91445269
ENSMUSG00000026810	chr2-32837947-32839846
ENSMUSG00000027655	chr2-158916875-158917791
ENSMUSG00000027573	chr2-180734537-180736103
ENSMUSG00000038298	chr3-96620921-96621927
ENSMUSG00000058407	chr1-38428656-38429924
ENSMUSG00000049086	chr2-25564788-25566227
ENSMUSG00000009563	chr2-32852095-32852771
ENSMUSG00000026470	chr1-155218018-155218521
ENSMUSG00000026447	chr1-133199154-133200752
ENSMUSG00000026817	chr2-32307009-32308713
ENSMUSG00000062647	chr2-26646616-26647682
ENSMUSG00000027953	chr3-89340413-89341366
ENSMUSG00000028096	chr3-96312084-96313328
ENSMUSG00000039050	chr2-180224836-180226237
ENSMUSG00000039205	chr2-32167172-32168348
ENSMUSG00000051590	chr1-127933570-127934958
ENSMUSG00000090100	chr2-121139372-121141296
ENSMUSG00000038608	chr1-80963703-80964983
ENSMUSG00000026857	chr2-30495150-30496759
ENSMUSG00000062908	chr3-153524852-153526960
ENSMUSG00000027199	chr2-121955438-121957093
ENSMUSG00000074627	chr2-157347155-157348293
ENSMUSG00000025958	chr1-64341151-64342263
ENSMUSG00000027598	chr2-154549216-154550097
ENSMUSG00000040506	chr2-91695263-91696606
ENSMUSG00000042548	chr2-152804359-152805779
ENSMUSG00000041263	chr3-89202568-89203641
ENSMUSG00000049044	chr2-71918517-71920065
ENSMUSG00000026667	chr1-170489343-170490585
ENSMUSG00000002550	chr2-31741736-31742984
ENSMUSG00000027998	chr3-82636314-82637436
ENSMUSG00000052544	chr3-153904173-153906514
ENSMUSG00000026353	chr1-128003662-128005163
ENSMUSG00000041684	chr1-43862214-43863291
ENSMUSG00000033396	chr2-121716730-121717616
ENSMUSG00000027993	chr3-84189914-84192016
ENSMUSG00000049339	chr1-75235969-75237464
ENSMUSG00000034701	chr2-79453881-79455922
ENSMUSG00000004127	chr3-138083136-138084191
ENSMUSG00000036352	chr2-25460077-25461711
ENSMUSG00000042766	chr3-89521573-89523229
ENSMUSG00000026856	chr2-30399272-30400453
ENSMUSG00000005510	chr2-90884895-90886875
ENSMUSG00000092201	chr2-113848008-113849824
ENSMUSG00000042572	chr3-89729952-89731508
ENSMUSG00000039686	chr2-29528961-29529867
ENSMUSG00000057182	chr2-65125623-65127063
ENSMUSG00000032966	chr2-151631313-151632846
ENSMUSG00000035513	chr2-28699246-28700747
ENSMUSG00000033981	chr3-80211142-80212016
ENSMUSG00000050315	chr3-123371684-123372411
ENSMUSG00000039483	chr2-30657663-30659697
ENSMUSG00000042111	chr1-34738185-34739993
ENSMUSG00000062908	chr3-153681864-153682909
ENSMUSG00000026270	chr1-93114683-93115776
ENSMUSG00000016526	chr1-131095535-131096207
ENSMUSG00000037818	chr3-40893423-40894805
ENSMUSG00000041642	chr1-135964226-135965418
ENSMUSG00000059743	chr3-89233112-89235393
ENSMUSG00000085397	chr2-32316750-32318722
ENSMUSG00000019699	chr1-177545043-177545960
ENSMUSG00000026851	chr2-30440662-30442775
ENSMUSG00000028104	chr3-96180618-96182914
ENSMUSG00000085953	chr3-31220867-31221983
ENSMUSG00000037470	chr1-36530517-36532549
ENSMUSG00000027581	chr2-181186321-181188203
ENSMUSG00000039262	chr2-32536286-32537304
ENSMUSG00000026411	chr1-135540225-135540891
ENSMUSG00000006476	chr2-25278932-25279729
ENSMUSG00000041757	chr1-133311376-133312414
ENSMUSG00000026234	chr1-86017979-86019271
ENSMUSG00000106093	chr3-105435919-105437044
ENSMUSG00000039725	chr2-164910502-164912646
ENSMUSG00000026771	chr2-23051392-23053034
ENSMUSG00000027395	chr2-129257525-129259500
ENSMUSG00000078201	chr2-24949195-24950580
ENSMUSG00000084799	chr1-63445042-63446946
ENSMUSG00000039648	chr2-30502939-30505036
ENSMUSG00000028176	chr3-158339953-158341761
ENSMUSG00000057329	chr1-107005037-107005825
ENSMUSG00000060771	chr1-37638664-37639751
ENSMUSG00000027808	chr3-57998087-57999584
ENSMUSG00000087679	chr2-25706226-25707514
ENSMUSG00000080727	chr3-95280768-95283802
ENSMUSG00000038793	chr1-180457976-180459122
ENSMUSG00000050199	chr2-109903998-109904718
ENSMUSG00000026553	chr1-172271075-172272511
ENSMUSG00000026131	chr1-33946586-33948155
ENSMUSG00000039804	chr2-164822489-164823583
ENSMUSG00000102014	chr1-127788807-127789619
ENSMUSG00000045968	chr1-153846469-153847345
ENSMUSG00000026667	chr1-169747033-169748907
ENSMUSG00000038806	chr1-180725307-180726709
ENSMUSG00000074923	chr2-118545292-118546184
ENSMUSG00000032046	chr2-150903560-150905205
