gene	peak	beta	se	z	p	boot_basic_p
ENSMUSG00000026565	chr1-165459442-165462006	-0.00466846770424424	0.0126191402510153	-0.369951328805353	0.711418755468961	NA
ENSMUSG00000037509	chr1-34849507-34850938	0.0959263914475898	0.0258988157850631	3.70389102898343	0.000212317492243319	NA
ENSMUSG00000026383	chr1-119884110-119886954	0.169256672283998	0.0631335217092353	2.68093189959398	0.00734174551284588	NA
ENSMUSG00000047824	chr3-89584168-89586408	0.113527032672163	0.0632193273831725	1.79576463988734	0.0725319566215664	NA
ENSMUSG00000094962	chr3-55462911-55463774	0.0649912431276645	0.0307044909238203	2.11666896835748	0.0342879522598708	NA
ENSMUSG00000038605	chr2-180896211-180898329	0.15989309660479	0.0549718825691075	2.90863418046093	0.00363011359369161	NA
ENSMUSG00000001018	chr3-90253606-90255239	0.0351242666557481	0.0439326717385056	0.799502176075552	0.423999285368947	NA
ENSMUSG00000079502	chr2-28467788-28468752	0.0452212736581432	0.0560822377915883	0.806338609849941	0.420047633862791	NA
ENSMUSG00000026203	chr1-75128550-75129614	0.0844166196057809	0.059411146732796	1.42088857475598	0.155349154999774	NA
ENSMUSG00000039671	chr2-165492667-165494492	-0.0432409340275283	0.0107648879733311	-4.01684942143877	5.89813844285015e-05	NA
ENSMUSG00000016179	chr1-193327160-193327720	-0.720621540600776	0.120021062834512	-6.00412563913374	1.92365704306398e-09	NA
ENSMUSG00000027692	chr3-28441267-28442407	0.0202525249676433	0.0106393059416875	1.90355696872	0.0569679075913661	NA
ENSMUSG00000027291	chr2-119996930-119998155	0.0323544558957791	0.0496215922882726	0.652023734099836	0.514385861547723	NA
ENSMUSG00000027998	chr3-83286764-83287430	0.00504092667078906	0.082997336037571	0.0607360056533278	0.951569456235085	NA
ENSMUSG00000001767	chr2-145587485-145589053	0.0225910104725179	0.0470500069053895	0.480148930008555	0.631121497892889	NA
ENSMUSG00000066877	chr1-43024424-43025718	-0.0118449880247402	0.0286399042392089	-0.41358336696266	0.679179256598655	NA
ENSMUSG00000048332	chr3-53040627-53042396	0.598162701722298	0.0481824788274306	12.4145273609659	2.17970240030162e-35	NA
ENSMUSG00000026455	chr1-134077353-134080064	0.0158710435158727	0.0212795550341148	0.74583530954612	0.455766907287419	NA
ENSMUSG00000091337	chr2-125141768-125143712	0.0551561335034555	0.0186377979983037	2.95936963736142	0.00308269097349035	NA
ENSMUSG00000039047	chr3-152542215-152545699	-0.0531327186617095	0.0326911610096516	-1.62529310739447	0.104100119394084	NA
ENSMUSG00000027350	chr2-132509268-132509960	0.190844199811753	0.0140457683116665	13.5873094000302	4.76269053469832e-42	NA
ENSMUSG00000038550	chr3-96268116-96270363	0.035987853654175	0.0504079718721048	0.713931791294509	0.475269357810689	NA
ENSMUSG00000051278	chr3-127097787-127099027	0.096515189397507	0.0903762480631966	1.06792649026565	0.285553672107889	NA
ENSMUSG00000026888	chr2-65125623-65127063	0.356325345616905	0.0242530256071362	14.6919956045426	7.25454142776641e-49	NA
ENSMUSG00000028194	chr3-145118146-145119588	0.198438595628112	0.042216592687564	4.70048819658929	2.59540258411654e-06	NA
ENSMUSG00000033721	chr3-109525865-109527670	0.107493517762822	0.0291400111085275	3.68886330765212	0.000225258194759241	NA
ENSMUSG00000016346	chr2-181113574-181115307	0.0789880070118185	0.017360697894359	4.54981749538329	5.36924638567991e-06	NA
