ENSMUSG00000026131	chr1-34142890-34143876
ENSMUSG00000026112	chr1-37287529-37289247
ENSMUSG00000046062	chr1-133306584-133307660
ENSMUSG00000034059	chr2-84677496-84678833
ENSMUSG00000074627	chr2-157339559-157342771
ENSMUSG00000026737	chr2-19371187-19372420
ENSMUSG00000032657	chr3-89320528-89323361
ENSMUSG00000104206	chr1-194315298-194316751
ENSMUSG00000027411	chr2-130512859-130514530
ENSMUSG00000026283	chr1-93511405-93512870
ENSMUSG00000034075	chr2-84689706-84691453
ENSMUSG00000086544	chr2-73891711-73893742
ENSMUSG00000016995	chr2-163911857-163912469
ENSMUSG00000087549	chr2-31277639-31278960
ENSMUSG00000085436	chr2-164496792-164498138
ENSMUSG00000037138	chr1-38787218-38788330
ENSMUSG00000027327	chr2-130629257-130630341
ENSMUSG00000062963	chr1-171037792-171038966
ENSMUSG00000036281	chr2-26646616-26647682
ENSMUSG00000027714	chr3-36202657-36203713
ENSMUSG00000037395	chr1-191854500-191856074
ENSMUSG00000027809	chr3-79566740-79568503
ENSMUSG00000038633	chr1-181832099-181833659
ENSMUSG00000026204	chr1-75338197-75340513
ENSMUSG00000039041	chr2-180069954-180071663
ENSMUSG00000037514	chr2-130905733-130907336
ENSMUSG00000050447	chr2-49743492-49744735
ENSMUSG00000085315	chr2-52700509-52702799
ENSMUSG00000059149	chr1-131962534-131964232
ENSMUSG00000015222	chr1-66481405-66483528
ENSMUSG00000098051	chr2-180966056-180967753
ENSMUSG00000068040	chr2-153483233-153484614
ENSMUSG00000026878	chr2-34671053-34672515
ENSMUSG00000027940	chr3-90372679-90374545
ENSMUSG00000008226	chr2-72995189-72996347
ENSMUSG00000027895	chr3-107516767-107518409
ENSMUSG00000027536	chr3-10439339-10440619
ENSMUSG00000040843	chr1-165071868-165072706
ENSMUSG00000042579	chr3-89688393-89689497
ENSMUSG00000053166	chr2-164994245-164996298
ENSMUSG00000027628	chr2-156726260-156727174
ENSMUSG00000039286	chr3-27709550-27711565
ENSMUSG00000075538	chr2-7346888-7347653
ENSMUSG00000074582	chr2-166661437-166664188
ENSMUSG00000029419	chr2-25843814-25844719
ENSMUSG00000070953	chr2-34531467-34532510
ENSMUSG00000032487	chr1-149865981-149866901
ENSMUSG00000050122	chr1-36696605-36699190
ENSMUSG00000025981	chr1-54982611-54983932
ENSMUSG00000099969	chr1-153384583-153387343
ENSMUSG00000027487	chr2-153929853-153931706
ENSMUSG00000102930	chr1-36708887-36710442
ENSMUSG00000027291	chr2-120413588-120415876
ENSMUSG00000070871	chr1-64924146-64925136
ENSMUSG00000028106	chr3-96057446-96058972
ENSMUSG00000055485	chr2-156924591-156926767
ENSMUSG00000036893	chr2-25097760-25099418
ENSMUSG00000037643	chr3-31327658-31329236
ENSMUSG00000039037	chr3-152813667-152814386
ENSMUSG00000040591	chr2-90916387-90918612
ENSMUSG00000026277	chr1-93784080-93786138
ENSMUSG00000048997	chr3-108363379-108365163
ENSMUSG00000062590	chr1-85837738-85839286
ENSMUSG00000068923	chr3-88832382-88832860
ENSMUSG00000027739	chr3-51603078-51604535
ENSMUSG00000026421	chr1-136039007-136040048
