ENSMUSG00000027669	chr3-32396289-32398208
ENSMUSG00000036745	chr3-146267251-146268655
ENSMUSG00000038740	chr2-33886435-33888354
ENSMUSG00000087445	chr2-157068722-157070218
ENSMUSG00000042066	chr1-132386194-132386696
ENSMUSG00000026036	chr1-58739300-58740439
ENSMUSG00000037754	chr2-158673426-158674398
ENSMUSG00000074576	chr2-168543951-168544735
ENSMUSG00000004880	chr1-181832099-181833659
ENSMUSG00000027366	chr2-126786864-126788732
ENSMUSG00000041879	chr1-135544351-135545580
ENSMUSG00000027639	chr2-156765683-156767663
ENSMUSG00000027634	chr2-156487718-156488732
ENSMUSG00000026482	chr1-153091743-153093195
ENSMUSG00000047021	chr1-75338197-75340513
ENSMUSG00000025815	chr2-5612547-5614479
ENSMUSG00000039483	chr2-31215881-31217376
ENSMUSG00000014077	chr2-119733139-119734167
ENSMUSG00000027341	chr2-132028908-132031044
ENSMUSG00000041762	chr2-73311943-73313642
ENSMUSG00000047496	chr1-105177539-105179965
ENSMUSG00000026817	chr2-32259327-32260902
ENSMUSG00000037152	chr3-51326465-51328446
ENSMUSG00000017760	chr2-164174784-164175747
ENSMUSG00000051747	chr2-76928376-76930155
ENSMUSG00000028062	chr3-88606980-88608566
ENSMUSG00000027282	chr2-90613067-90615509
ENSMUSG00000026313	chr1-92030144-92031257
ENSMUSG00000026917	chr2-27288767-27289658
ENSMUSG00000028266	chr3-144198220-144199238
ENSMUSG00000028062	chr3-88647851-88650403
ENSMUSG00000061689	chr2-156624335-156625884
ENSMUSG00000027342	chr2-132497261-132498889
ENSMUSG00000026858	chr2-30061862-30063070
ENSMUSG00000039826	chr2-29964197-29966295
ENSMUSG00000087679	chr2-26060367-26061731
ENSMUSG00000005687	chr3-102703818-102704983
ENSMUSG00000027800	chr3-56788632-56789815
ENSMUSG00000027978	chr3-123362981-123365139
ENSMUSG00000028064	chr3-88501739-88503821
ENSMUSG00000033910	chr3-81943029-81943987
ENSMUSG00000037351	chr1-36606495-36607579
ENSMUSG00000075415	chr2-30952571-30953739
ENSMUSG00000026879	chr2-35297772-35298898
ENSMUSG00000039205	chr2-32298697-32299979
ENSMUSG00000026842	chr2-31280953-31281609
ENSMUSG00000026207	chr1-75357269-75359938
ENSMUSG00000005625	chr3-95104906-95107232
ENSMUSG00000001998	chr2-126706765-126707961
ENSMUSG00000001768	chr2-145887931-145889627
ENSMUSG00000042670	chr2-105674219-105675813
ENSMUSG00000026018	chr1-59925832-59927734
ENSMUSG00000047824	chr3-89315362-89316084
ENSMUSG00000086968	chr3-108145391-108146626
ENSMUSG00000026436	chr1-131736539-131738093
ENSMUSG00000036381	chr3-59260181-59261533
ENSMUSG00000047030	chr2-167035961-167038853
ENSMUSG00000027950	chr3-89244169-89246900
ENSMUSG00000100632	chr1-93070857-93072133
ENSMUSG00000013698	chr1-172520575-172521871
ENSMUSG00000028028	chr3-127954493-127955394
ENSMUSG00000027248	chr2-121358138-121359296
ENSMUSG00000010505	chr2-181863749-181865239
ENSMUSG00000027272	chr2-120849558-120851180
ENSMUSG00000041040	chr1-59602386-59604375
ENSMUSG00000038116	chr2-156519373-156520178
ENSMUSG00000016179	chr1-193380803-193383404
ENSMUSG00000002546	chr2-32628298-32629849
ENSMUSG00000026245	chr1-78724244-78725320
ENSMUSG00000027204	chr2-125122034-125124051
ENSMUSG00000038900	chr2-33260719-33262126
ENSMUSG00000073616	chr1-92179572-92181306
ENSMUSG00000028005	chr3-81782118-81783722
ENSMUSG00000004113	chr2-24637804-24639232
ENSMUSG00000047617	chr2-25254916-25256144
ENSMUSG00000054484	chr2-120567277-120568203
ENSMUSG00000057110	chr2-35297772-35298898
ENSMUSG00000027466	chr2-151994247-151995354
ENSMUSG00000027272	chr2-121007893-121009120
ENSMUSG00000001419	chr3-88435262-88437355
ENSMUSG00000026834	chr2-58585862-58586937
ENSMUSG00000026768	chr2-12708635-12710719
ENSMUSG00000032802	chr2-151961626-151963782
ENSMUSG00000033486	chr2-121620411-121622170
ENSMUSG00000027255	chr2-91243097-91243969
ENSMUSG00000027953	chr3-89213503-89216319
ENSMUSG00000058740	chr2-25843814-25844719
ENSMUSG00000039756	chr3-121952855-121954156
ENSMUSG00000019715	chr2-29964197-29966295
ENSMUSG00000027297	chr2-119299800-119301575
ENSMUSG00000026426	chr1-135095736-135097118
ENSMUSG00000097167	chr3-94953589-94954623
ENSMUSG00000027079	chr2-84868523-84869967
ENSMUSG00000027397	chr2-128966687-128968526
ENSMUSG00000039356	chr2-31875796-31877042
ENSMUSG00000036352	chr2-26132461-26133713
ENSMUSG00000038900	chr2-33164451-33166452
ENSMUSG00000038495	chr3-96218995-96221925
ENSMUSG00000026755	chr2-38643354-38644467
ENSMUSG00000034349	chr3-69004039-69006385
ENSMUSG00000050896	chr2-84831494-84832730
ENSMUSG00000026864	chr2-34771242-34772829
ENSMUSG00000026113	chr1-37628393-37629367
ENSMUSG00000042766	chr3-89226982-89228622
ENSMUSG00000038902	chr3-94398193-94399643
ENSMUSG00000015711	chr3-94837155-94838889
ENSMUSG00000050174	chr3-37874849-37876383
ENSMUSG00000058248	chr1-191964016-191965603
ENSMUSG00000027259	chr2-120605950-120606664
ENSMUSG00000051413	chr2-153559463-153561939
ENSMUSG00000036381	chr3-58785719-58786529
