peak	gene	score
chr1-3670478-3672613	ENSMUSG00000102331	0.273331785383007
chr1-4785102-4786442	ENSMUSG00000033793	0.296773667719868
chr1-5022542-5023723	ENSMUSG00000033845	0.169269989265156
chr1-5082476-5083811	ENSMUSG00000033845	0.172943281282576
chr1-5017922-5020482	ENSMUSG00000033813	0.198539783207454
chr1-5082476-5083811	ENSMUSG00000033793	0.275075953846911
chr1-9629436-9631419	ENSMUSG00000061024	0.273029756971335
chr1-9747454-9748896	ENSMUSG00000061024	-0.176383844586114
chr1-10039408-10040450	ENSMUSG00000061024	0.306609964954305
chr1-9629436-9631419	ENSMUSG00000046101	-0.176666313334393
chr1-9699813-9701287	ENSMUSG00000025917	0.195213814933881
chr1-9747454-9748896	ENSMUSG00000025915	-0.106214595067963
chr1-10037400-10038592	ENSMUSG00000025915	0.360349249547426
chr1-10037400-10038592	ENSMUSG00000056763	0.237112674838766
chr1-13425711-13428538	ENSMUSG00000025935	-0.145891803776684
chr1-13990942-13992160	ENSMUSG00000025937	0.215502116332164
chr1-15482641-15484170	ENSMUSG00000092083	0.21908637520152
chr1-16201522-16202665	ENSMUSG00000025939	-0.199490128157736
chr1-16664858-16666146	ENSMUSG00000025920	0.279519840646304
chr1-16618211-16619983	ENSMUSG00000101640	-0.146533479823553
chr1-16656346-16657889	ENSMUSG00000025939	0.170166704416097
chr1-16664858-16666146	ENSMUSG00000025939	0.255045008772296
chr1-16664858-16666146	ENSMUSG00000079658	-0.15640492996109
chr1-17144984-17146247	ENSMUSG00000025939	0.184950497630641
chr1-17122828-17124032	ENSMUSG00000025940	0.302577279919133
chr1-16809117-16810674	ENSMUSG00000042686	0.321695760743705
chr1-17122828-17124032	ENSMUSG00000101640	0.250109061251211
chr1-17144984-17146247	ENSMUSG00000042686	0.287836557224016
chr1-20819976-20820842	ENSMUSG00000025931	0.253271831926987
chr1-20905445-20906883	ENSMUSG00000025933	0.234528848092003
chr1-20951004-20952550	ENSMUSG00000025931	0.259208627849275
chr1-23921479-23922938	ENSMUSG00000026158	-0.139555846573013
chr1-23670076-23671438	ENSMUSG00000026153	0.259808215725056
chr1-23921479-23922938	ENSMUSG00000026153	0.25525794470379
chr1-24099510-24101241	ENSMUSG00000026153	-0.19676414160044
chr1-24677690-24679844	ENSMUSG00000073725	0.252213788437546
chr1-25145698-25147008	ENSMUSG00000073725	-0.15554043626751
chr1-25744670-25746765	ENSMUSG00000033569	0.279357624266232
chr1-30740289-30742332	ENSMUSG00000048874	-0.13634810385744
chr1-30872760-30874398	ENSMUSG00000048874	0.22926005189183
chr1-30948460-30950577	ENSMUSG00000048874	0.231430778688698
chr1-33719484-33720766	ENSMUSG00000042182	-0.153292460792734
chr1-34005239-34007719	ENSMUSG00000042182	0.205927686779441
chr1-34218262-34219564	ENSMUSG00000042182	-0.172854795718889
chr1-34005239-34007719	ENSMUSG00000026131	0.348408828765934
chr1-34433905-34435425	ENSMUSG00000037503	0.178796265021524
chr1-34578567-34580372	ENSMUSG00000037503	-0.160151853609657
chr1-34801427-34802853	ENSMUSG00000037509	0.292825941371439
chr1-34804643-34805497	ENSMUSG00000037509	0.270353049903593
chr1-34793047-34794248	ENSMUSG00000037503	0.189925797056807
chr1-36067847-36069171	ENSMUSG00000037470	0.217990991147691
chr1-36556305-36558782	ENSMUSG00000037470	0.166664564136516
chr1-36307342-36308311	ENSMUSG00000010453	0.246881814729189
chr1-36307342-36308311	ENSMUSG00000001138	0.154392658130388
chr1-36784543-36786256	ENSMUSG00000010453	0.20403254426292
chr1-36796769-36798359	ENSMUSG00000010453	-0.153527936121416
chr1-36444524-36445740	ENSMUSG00000001143	-0.192120218655498
chr1-36796769-36798359	ENSMUSG00000001143	0.261865895470158
chr1-36690849-36692437	ENSMUSG00000001138	0.216742431191101
chr1-36708887-36710442	ENSMUSG00000061518	-0.187267345206598
chr1-36813408-36814892	ENSMUSG00000037351	0.365737155791402
chr1-36864244-36865367	ENSMUSG00000037351	0.299943805091533
chr1-37065334-37066390	ENSMUSG00000037351	-0.149929937345953
chr1-37219472-37220889	ENSMUSG00000037351	-0.183340280617755
chr1-36796769-36798359	ENSMUSG00000102930	0.172304787021874
chr1-36864244-36865367	ENSMUSG00000026116	0.292802968628354
chr1-37219472-37220889	ENSMUSG00000026116	-0.204075188128491
chr1-37366977-37369484	ENSMUSG00000026116	-0.230434681054141
chr1-37097193-37098335	ENSMUSG00000026113	0.245715747740243
chr1-37219472-37220889	ENSMUSG00000026111	-0.130152251816127
chr1-37429347-37430701	ENSMUSG00000026111	0.269352290679305
chr1-37429347-37430701	ENSMUSG00000060771	-0.183527048288666
chr1-37917224-37918831	ENSMUSG00000026111	0.275085077681374
chr1-37540272-37541725	ENSMUSG00000026087	0.319180765587965
chr1-37540272-37541725	ENSMUSG00000058407	-0.247940167659217
chr1-37613482-37615456	ENSMUSG00000026110	0.288771482408119
chr1-37725731-37728552	ENSMUSG00000026110	0.25369693839123
chr1-37613482-37615456	ENSMUSG00000060771	-0.181196257634751
chr1-37613482-37615456	ENSMUSG00000058407	-0.165462511093617
chr1-37864327-37865824	ENSMUSG00000060771	-0.171199692881482
chr1-37889577-37891016	ENSMUSG00000060771	0.252218699932435
chr1-38417138-38419232	ENSMUSG00000026083	-0.179929166833095
chr1-38437745-38439201	ENSMUSG00000026083	-0.161097450572469
chr1-38437745-38439201	ENSMUSG00000026082	-0.221583902862517
chr1-38417138-38419232	ENSMUSG00000048814	-0.208790563334119
chr1-38428656-38429924	ENSMUSG00000048814	0.288806173074264
chr1-38437745-38439201	ENSMUSG00000048814	-0.209370739689287
chr1-38626363-38628956	ENSMUSG00000026080	0.202334989965284
chr1-38729207-38731484	ENSMUSG00000037138	0.221002784282037
chr1-38847795-38849418	ENSMUSG00000037138	0.236950748691476
chr1-38847795-38849418	ENSMUSG00000026077	-0.149830278202007
chr1-39192382-39194709	ENSMUSG00000048814	-0.125544547675627
chr1-38897184-38898431	ENSMUSG00000026078	0.220535448482964
chr1-39096987-39098586	ENSMUSG00000026080	0.428615603316644
chr1-39013411-39014633	ENSMUSG00000026078	0.307875721753122
chr1-39096987-39098586	ENSMUSG00000026078	0.216198563030699
chr1-39062869-39065427	ENSMUSG00000003134	0.186074623925466
chr1-39251356-39252229	ENSMUSG00000003134	0.213287663225415
chr1-39348694-39349944	ENSMUSG00000003134	0.246252547402201
chr1-39477824-39479141	ENSMUSG00000003134	0.249094568147869
chr1-39649706-39651435	ENSMUSG00000048234	0.247383427160919
chr1-39761156-39762524	ENSMUSG00000048234	0.213199842716451
chr1-39761156-39762524	ENSMUSG00000050967	0.214356071980407
chr1-40235294-40237319	ENSMUSG00000026065	0.28629782084954
chr1-40599403-40601874	ENSMUSG00000026065	0.285862404656188
chr1-40680144-40682442	ENSMUSG00000026065	0.292914236808402
chr1-40788936-40791209	ENSMUSG00000026065	-0.152553465482962
